trial,task_type,task_size,use_bls,include_edge_processing,measure_local_task_processing,vehicle_ms,server_ms,ta_ms,total_ms,local_task_ms,server::derive_service_key,server::install_cross_domain_token,server::issue_service_challenge,server::verify_bls_access_request,server::verify_offload_packet,ta::generate_cross_domain_token,ta::issue_registration_shares,vehicle::build_offload_packet,vehicle::derive_service_key,vehicle::generate_bls_access_request,vehicle::request_registration,vehicle::respond_service_challenge
1,VIDEO_ANALYSIS,512,True,False,False,0.6277000000000088,1.59980000000004,0.04460000000006126,2.27210000000011,,0.005399999999933236,0.0010000000000287557,0.006500000000020378,1.5841000000000882,0.0027999999999694936,0.033500000000019625,0.011100000000041632,0.01219999999990673,0.008800000000031005,0.5684999999999718,0.036200000000041754,0.0020000000000575113
2,VIDEO_ANALYSIS,512,True,False,False,0.5646999999999736,1.608300000000007,0.02889999999988735,2.201899999999868,,0.0045999999999102315,0.0006000000000172534,0.010300000000018628,1.5899999999999803,0.002800000000080516,0.023299999999948362,0.005599999999938987,0.010699999999919108,0.021800000000071762,0.5114000000000507,0.018499999999921357,0.002300000000010627
3,VIDEO_ANALYSIS,512,True,False,False,0.5467000000000111,1.5112999999999932,0.03799999999987147,2.0959999999998757,,0.003599999999992498,0.0006000000000172534,0.0038999999999456136,1.5007999999999688,0.0024000000000690136,0.024999999999941735,0.012999999999929734,0.008699999999972619,0.006100000000008876,0.4990000000000272,0.031200000000009,0.0016999999999933735
4,VIDEO_ANALYSIS,512,True,False,False,0.5397000000000318,1.517900000000072,0.030199999999980243,2.087800000000084,,0.0034999999999341114,0.000500000000069889,0.005200000000038507,1.5064999999999662,0.0022000000000632625,0.024099999999971367,0.006100000000008876,0.008400000000019503,0.008200000000013752,0.5030999999999786,0.018399999999973993,0.001600000000046009
5,VIDEO_ANALYSIS,512,True,False,False,0.5396999999999208,1.5208000000000998,0.026599999999987745,2.0871000000000084,,0.0034999999999341114,0.00040000000001150227,0.004300000000068138,1.5104000000000228,0.0022000000000632625,0.021399999999949237,0.005200000000038507,0.008400000000019503,0.008200000000013752,0.5048999999999193,0.01669999999998062,0.0014999999999876223
6,VIDEO_ANALYSIS,512,True,False,False,0.5366999999999456,1.5184999999998672,0.02500000000016378,2.0801999999999765,,0.003399999999986747,0.0004999999999588667,0.004499999999962867,1.507799999999948,0.002300000000010627,0.02010000000007839,0.004900000000085392,0.006799999999973494,0.008200000000013752,0.5030999999999786,0.016600000000033255,0.001999999999946489
7,VIDEO_ANALYSIS,512,True,False,False,0.5198999999999065,1.4958999999999945,0.025300000000005873,2.041099999999907,,0.003399999999986747,0.0006999999999646178,0.0031000000000336314,1.4857999999999816,0.0029000000000278803,0.020200000000025753,0.0050999999999801204,0.006799999999973494,0.005199999999927485,0.49080000000001345,0.0156000000000045,0.0014999999999876223
8,VIDEO_ANALYSIS,512,True,False,False,0.6966000000000472,1.62910000000005,0.025100000000000122,2.3508000000000973,,0.004300000000068138,0.0004999999999588667,0.009299999999989872,1.6122000000000636,0.0027999999999694936,0.020600000000037255,0.004499999999962867,0.015199999999992997,0.0072000000000960185,0.6559000000000426,0.015899999999957615,0.0023999999999579913
9,VIDEO_ANALYSIS,512,True,False,False,0.5697000000000063,1.5117000000000047,0.03229999999998512,2.113699999999996,,0.003700000000050885,0.0006000000000172534,0.004199999999898729,1.5007000000000215,0.002500000000016378,0.025300000000005873,0.006999999999979245,0.008600000000025254,0.0067000000000261295,0.5309000000000008,0.021900000000019126,0.0015999999999349868
10,VIDEO_ANALYSIS,512,True,False,False,0.5449999999999067,1.5327999999998898,0.02670000000004613,2.1044999999998426,,0.0036999999999398625,0.0004999999999588667,0.005299999999985872,1.5208999999999362,0.0024000000000690136,0.021900000000019126,0.004800000000027005,0.008400000000019503,0.007399999999990747,0.5105999999999167,0.01689999999998637,0.0016999999999933735
11,VIDEO_ANALYSIS,512,True,False,False,0.541899999999873,1.5524000000000093,0.025900000000023127,2.1201999999999055,,0.003399999999986747,0.00029999999995311555,0.004900000000085392,1.5416000000000318,0.00219999999995224,0.021300000000001873,0.004600000000021254,0.0070999999999266095,0.006499999999909356,0.5105000000000803,0.015899999999957615,0.0018999999999991246
12,VIDEO_ANALYSIS,512,True,False,False,0.571499999999947,1.5721999999999126,0.029700000000021376,2.173399999999881,,0.008200000000013752,0.00040000000001150227,0.005699999999997374,1.5550999999999204,0.0027999999999694936,0.025100000000000122,0.004600000000021254,0.011699999999947863,0.012299999999965117,0.5287000000000486,0.017000000000044757,0.001799999999940738
13,VIDEO_ANALYSIS,512,True,False,False,0.5705999999999767,1.5863000000001515,0.033300000000013874,2.190200000000142,,0.003399999999986747,0.000500000000069889,0.003700000000050885,1.5764000000000333,0.002300000000010627,0.026599999999987745,0.0067000000000261295,0.0075999999999964984,0.006100000000008876,0.5380000000000384,0.017299999999997873,0.0015999999999349868
